model_name,temperature,phenomenon,decoding_scheme,question,seed,item_id,prompt,response,annotation_wang,annotation_tsvilodub
google/flan-t5-xl,0.1,metaphor,greedy,,0,11,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Jody and Mark were discussing their daughter's behavior. Mark said: ""She is walking all over her brothers."" What did Mark mean?


Your answer:
",She is a bully.,target,target
google/flan-t5-xl,0.1,metaphor,greedy,,0,12,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

During a business meeting, the general manager of the company said to the financial manager: ""The new accountant that you hired is a juggler."" What did the general manager mean? 


Your answer:
",He was a bad accountant.,error,distractor_plausibleliteral
google/flan-t5-xl,0.1,metaphor,greedy,,0,13,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Ken was telling his friend about his shopping experience on Black Friday. Ken said: ""The store that I went to was a jungle."" What did Ken mean?


Your answer:
",He was overwhelmed by the crowds.,target,target
google/flan-t5-xl,0.1,metaphor,greedy,,0,14,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Janet was telling her friend about the show that she saw last night. Janet said: ""The dancers were butterflies."" What did Janet mean?


Your answer:
",The dancers were beautiful.,target,target
google/flan-t5-xl,0.1,metaphor,greedy,,0,15,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Caitlyn was telling her husband about her new co-worker. Caitlyn said: ""Sally is a block of ice."" What did she mean?


Your answer:
",Sally is cold.,error,distractor_plausibleliteral
google/flan-t5-xl,0.1,metaphor,greedy,,0,16,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Robert and his wife are discussing their neighbor. Robert said: ""Our neighbor is a sheep."" What did Robert mean?  


Your answer:
",He is apathetic.,error,distractor_plausibleliteral
google/flan-t5-xl,0.1,metaphor,greedy,,0,17,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Lucy told her teacher: ""The book that you gave me has more holes in it than Swiss cheese."" What did Lucy mean?


Your answer:
",She thought the book was a waste of time.,target,target
google/flan-t5-xl,0.1,metaphor,greedy,,0,18,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

The teacher told Sam: ""You have too much on your plate."" What did the teacher mean?


Your answer:
",Sam was too busy.,target,target
google/flan-t5-xl,0.1,metaphor,greedy,,0,19,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Melissa was discussing a new sales manager, who was hired a couple of days ago: ""She is a babe in the woods."" What did Melissa mean?


Your answer:
",She is inexperienced.,target,target
google/flan-t5-xl,0.1,metaphor,greedy,,0,20,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

John told his fiance: ""You are the tomato sauce to my pasta."" What did John mean?


Your answer:
",He was describing her to his fiance.,error,error
