model_name,temperature,phenomenon,decoding_scheme,question,seed,item_id,prompt,response,annotation_wang,annotation_tsvilodub,target,incorrect_literal,incorrect_lexical_overlap,incorrect_social_convention
google/flan-t5-xl,0.1,deceits,greedy,,0,11,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Katie, John's wife, just got a new haircut that she is really excited about. John has been avoiding the topic. Katie finally asks John if he likes her new style. John responds, ""It looks great!” Why has John responded like this?


Your answer:
",John is a supportive husband.,target,target,He sees how excited Katie is about the haircut and does not want to ruin her good mood.,He thinks that a new haircut suits his wife.,He wants to stress out that this haircut does not compliment Katie.,John does not care about Katie or her haircut.
google/flan-t5-xl,0.1,deceits,greedy,,0,12,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

One night at a party Lucy and her best friend Mary are talking with some acquaintances.  Mary tells a long story to a group of people and a few of them smile. Afterwards, Mary asks Lucy whether she thought her joke was funny. Lucy says, ""Of course, you know I think you're funny!” Why has Lucy responded like this?


Your answer:
",Lucy is a friend and she wants to support her friend.,target,target,Lucy did not want Mary to feel awkward at this party.,Lucy thought that that Mary's jokes were hilarious. , Lucy wanted Mary to understand that her jokes were not humorous.,Lucy was afraid to get in trouble with guests of the party for telling Mary the truth. 
google/flan-t5-xl,0.1,deceits,greedy,,0,13,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Jim and his roommate Mike are taking a course together. Mike tells him he is stressed about giving his first presentation. Afterwards Jim feels very confused about the content because of how scattered it was. After class Mike asks Jim whether it went badly. Jim answers, ""No, definitely not.” Why has Jim responded like this?


Your answer:
",Jim is a good friend,target,target,He wanted to support Mike and not make him even more nervous during public speaking in the future.,Jim thought that Mike did not seem to be that nervous after all.,Jim wanted Mike to understand that he needs to deal with his nervousness during public speaking.,Jim missed Mike's presentation and had no idea whether Mike was nervous or not.
google/flan-t5-xl,0.1,deceits,greedy,,0,14,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

One day Jane comes home and is delighted to find her partner Anthony straightening up her apartment. Jane notices that Anthony threw out lots of things which were creating clutter, including an old photo that she had always kept on the coffee table. Anthony is worried that something is troubling Jane and asks if anything is wrong. Jane answers, ""Everything is fine, dear. You did a great job of cleaning the apartment.” Why has Jane responded like this?


Your answer:
",She is happy that Anthony is cleaning.,incorrect_literal,target,She wants to show that she appreciates that Anthony has cleaned the apartment.,She is happy that Anthony has cleaned the apartment and does not care about the picture that got thrown away.,She wants to show that she is angry that Anthony has cleaned the apartment.,She shows him how angry she is with him for throwing out things without her consent.
google/flan-t5-xl,0.1,deceits,greedy,,0,15,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

After telling her partner Bob that she has been craving donuts for several days, Alice wakes up very early to visit her favorite cafe. There, she finds two different varieties of donuts, has one of each, and leaves feeling satisfied. She returns home where her husband Bob has surprised her by making homemade donuts. He says to her, ""Do you want some? She replies, ""Yes, that's exactly what I'm craving right now!” Why has Alice responded like this?


Your answer:
",She is hungry.,incorrect_literal,incorrect_literal,She did not want to disappoint Bob by telling him the truth.,She is excited to eat the donuts because she is craving them.,She wanted Bob to understand that she did not want any more donuts.,She did not want to show Bob that she was angry by telling him the truth. 
google/flan-t5-xl,0.1,deceits,greedy,,0,16,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Brianna was deciding between her favorite takeout restaurants when her partner Derek invites her over to his house for dinner for the third time this week. Derek tells her excitedly that his mom cooked her special spaghetti recipe and is eager to have her taste it again.  Brianna responds: ""I am looking forward to it.” Why has Brianna responded like this?


Your answer:
",Brianna is excited to eat at Derek's house.,incorrect_literal,incorrect_literal,She wants to keep a good relationship with Derek and his family.,She thinks that spending dinner with Derek's parents is a good idea.,She thinks that spending dinner with Derek's parents is a bad idea., She wants to learn how to cook spaghetti.
google/flan-t5-xl,0.1,deceits,greedy,,0,17,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Samantha and her partner Andy are having a conversation about their relationship. In the past, the two of them had some difficulties, but for the last few months things have been absolutely great. Andy tells Samantha that even when things were not going well, breaking up was never an option for him. He asks if Samantha had ever considered ending the relationship. Although she is currently very happy in the relationship, in the past she had considered ending the relationship several times. Samantha says, ""Of course not, I have never considered breaking up with you.” Why has Samantha responded like this?


Your answer:
",She is in a committed relationship.,incorrect_literal,incorrect_literal,She values their current relationship and does not want to jeopardize it by discussing her past thoughts., She has never thought seriously about breaking up with him,She wants Andy to realize that she has thought about breaking up with him.,She is disappointed with their current relationship and wants to end it. 
google/flan-t5-xl,0.1,deceits,greedy,,0,18,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Betty's partner needs to have his wisdom teeth removed, which Betty remembers was painful for her. Her partner is often anxious about medical matters. The night before his appointment, he tells Betty that he heard that the procedure can be painful. He asks Betty what her experience was like. She says: ""It wasn't bad at all."" Why has Betty responded like this?


Your answer:
",She wants to help her partner.,target,target,Betty does not want to put additional stress on her partner by telling him the truth.,Wisdom tooth removal was not that painful for Betty after all.,Wisdom tooth removal was extremely painful for Betty.,Betty values her relationship with her partner and does not want to get into an argument with him.
google/flan-t5-xl,0.1,deceits,greedy,,0,19,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Mary sets up a date for her best friend Annie and her brother Mike. They don't talk much during their dinner and Annie is surprised by the way that Mike talks to the waiter. After the date, Mary asks Annie what she thought of her date with Mike. Annie says, ""It was fun!” Why has Annie responded like this?


Your answer:
",Annie is a good friend.,target,target,Annie does not want to upset her friend., Annie had a great time with Mike.,Annie wants Mary to know that the date was a disaster.,Annie does not want to be friends with Mary any more.
google/flan-t5-xl,0.1,deceits,greedy,,0,20,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Lisa is taking a class with Mrs. Smith, who is the mother of her best friend Ellie. Mrs. Smith typically lectures from the textbook to the class, and gives difficult multiple-choice exams. One day Ellie asks Lisa what she thinks about the class that her mom teaches. Lisa responds: ""She is an awesome teacher.”  Why has Lisa responded like this?


Your answer:
",Lisa is a good friend and likes her mother.,incorrect_literal,incorrect_literal,She does not want to hurt her friend by criticizing her mother.,She is happy with the way Mrs. Smith teaches that class.,She is unhappy with the way Mrs. Smith teaches that class.,She does not want to be friends with Ellie any more.
