model_name,temperature,seed,item_id,task,prompt,prior_prompt,question_number,question,item,item_type,correct1,correct2,correct3,options,option_names,shuffled_options,shuffled_option_names,option_numbering,token_cond_log_probs,token_cond_probs,prior_token_log_probs,null_prior_token_log_probs,token_probs,sentence_cond_probs,mean_sentence_cond_probs,prior_sentence_probs,sentence_mi,sentence_surprisal,mean_sentence_surprisal,sentence_mi_surprisal
microsoft/phi-2,0.1,0,8,Scalar_Implicatures,"You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Tickets in the DoubleDay instant lottery almost always win. Today Zach needs to check whether 3 of the tickets have won. Zach tells you on the phone: I have now checked 3 of the 3 tickets, and given what I saw, I can tell you that some of today's tickets have won.","You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Tickets in the DoubleDay instant lottery almost always win. Today Zach needs to check whether 3 of the tickets have won. Zach tells you on the phone: I have now checked 3 of the 3 tickets, and given what I saw, I can tell you that some of today's tickets have won.

Choose one of the following options and return the label of that option.
A. Less than 50 percent
B. More than 50 percent
Your answer:
",Question3,Estimate (in percent) how likely it is that all 3 of the tickets have won.,Critical,Full,Yes,Yes,Under50,A,Less than 50 percent,Less than 50 percent,Less than 50 percent,A,"tensor([-0.8907, -1.6005])","[tensor(0.4104), tensor(0.2018)]",tensor([-6.1659]),"tensor([-1.1109, -1.3774])","[tensor(0.3293), tensor(0.2522)]",0.08281087,0.30607879161834717,0.08304922,0.99713,-2.491196,-1.2455979585647583,1.001155
microsoft/phi-2,0.1,0,8,Scalar_Implicatures,"You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Tickets in the DoubleDay instant lottery almost always win. Today Zach needs to check whether 3 of the tickets have won. Zach tells you on the phone: I have now checked 3 of the 3 tickets, and given what I saw, I can tell you that some of today's tickets have won.","You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Tickets in the DoubleDay instant lottery almost always win. Today Zach needs to check whether 3 of the tickets have won. Zach tells you on the phone: I have now checked 3 of the 3 tickets, and given what I saw, I can tell you that some of today's tickets have won.

Choose one of the following options and return the label of that option.
A. Less than 50 percent
B. More than 50 percent
Your answer:
",Question3,Estimate (in percent) how likely it is that all 3 of the tickets have won.,Critical,Full,Yes,Yes,Under50,B,More than 50 percent,More than 50 percent,More than 50 percent,B,"tensor([-0.8907, -5.3426])","[tensor(0.4104), tensor(0.0048)]",tensor([-7.4080]),"tensor([-1.1109, -4.8228])","[tensor(0.3293), tensor(0.0080)]",0.0019628003,0.2075686901807785,0.002648837,0.7410046,-6.233383,-3.1166915893554688,1.0505168
microsoft/phi-2,0.1,0,11,Scalar_Implicatures,"You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

The computers brought to John's repair shop almost always have viruses. Today John needs to repair 3 computers. John tells you on the phone: I have now looked at 2 of the 3 computers, and given what I saw, I can tell you that some of today's computers have viruses.","You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

The computers brought to John's repair shop almost always have viruses. Today John needs to repair 3 computers. John tells you on the phone: I have now looked at 2 of the 3 computers, and given what I saw, I can tell you that some of today's computers have viruses.

Choose one of the following options and return the label of that option.
A. Yes
B. No
Your answer:
",Question,Did John look at all of today's computers?,Critical,Partial,No,Yes,Over50,A,Yes,Yes,Yes,A,"tensor([-0.9790, -1.9089])","[tensor(0.3757), tensor(0.1482)]",tensor([-6.1659]),"tensor([-1.1028, -1.5332])","[tensor(0.3319), tensor(0.2159)]",0.055695657,0.26197177171707153,0.07165018,0.77732754,-2.8878531,-1.4439265727996826,1.0955604
microsoft/phi-2,0.1,0,11,Scalar_Implicatures,"You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

The computers brought to John's repair shop almost always have viruses. Today John needs to repair 3 computers. John tells you on the phone: I have now looked at 2 of the 3 computers, and given what I saw, I can tell you that some of today's computers have viruses.","You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

The computers brought to John's repair shop almost always have viruses. Today John needs to repair 3 computers. John tells you on the phone: I have now looked at 2 of the 3 computers, and given what I saw, I can tell you that some of today's computers have viruses.

Choose one of the following options and return the label of that option.
A. Yes
B. No
Your answer:
",Question,Did John look at all of today's computers?,Critical,Partial,No,Yes,Over50,B,No,No,No,B,"tensor([-0.9790, -6.2761])","[tensor(0.3757), tensor(0.0019)]",tensor([-7.4080]),"tensor([-1.1028, -4.4785])","[tensor(0.3319), tensor(0.0114)]",0.00070660375,0.18878914415836334,0.0037677684,0.18753906,-7.2550406,-3.6275203227996826,1.2998902
microsoft/phi-2,0.1,0,11,Scalar_Implicatures,"You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

The computers brought to John's repair shop almost always have viruses. Today John needs to repair 3 computers. John tells you on the phone: I have now looked at 2 of the 3 computers, and given what I saw, I can tell you that some of today's computers have viruses.","You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

The computers brought to John's repair shop almost always have viruses. Today John needs to repair 3 computers. John tells you on the phone: I have now looked at 2 of the 3 computers, and given what I saw, I can tell you that some of today's computers have viruses.

Choose one of the following options and return the label of that option.
A. Yes
B. No
Your answer:
",Question2,Did John say that some of today's computers have viruses? ,Critical,Partial,No,Yes,Over50,A,Yes,Yes,Yes,A,"tensor([-1.0729, -2.1789])","[tensor(0.3420), tensor(0.1132)]",tensor([-6.1659]),"tensor([-1.1028, -1.5332])","[tensor(0.3319), tensor(0.2159)]",0.038704623,0.22759392857551575,0.07165018,0.5401888,-3.2517962,-1.6258981227874756,1.233629
microsoft/phi-2,0.1,0,11,Scalar_Implicatures,"You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

The computers brought to John's repair shop almost always have viruses. Today John needs to repair 3 computers. John tells you on the phone: I have now looked at 2 of the 3 computers, and given what I saw, I can tell you that some of today's computers have viruses.","You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

The computers brought to John's repair shop almost always have viruses. Today John needs to repair 3 computers. John tells you on the phone: I have now looked at 2 of the 3 computers, and given what I saw, I can tell you that some of today's computers have viruses.

Choose one of the following options and return the label of that option.
A. Yes
B. No
Your answer:
",Question2,Did John say that some of today's computers have viruses? ,Critical,Partial,No,Yes,Over50,B,No,No,No,B,"tensor([-1.0729, -6.6008])","[tensor(0.3420), tensor(0.0014)]",tensor([-7.4080]),"tensor([-1.1028, -4.4785])","[tensor(0.3319), tensor(0.0114)]",0.0004649079,0.17169193923473358,0.0037677684,0.12339079,-7.6736712,-3.8368356227874756,1.3748964
microsoft/phi-2,0.1,0,11,Scalar_Implicatures,"You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

The computers brought to John's repair shop almost always have viruses. Today John needs to repair 3 computers. John tells you on the phone: I have now looked at 2 of the 3 computers, and given what I saw, I can tell you that some of today's computers have viruses.","You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

The computers brought to John's repair shop almost always have viruses. Today John needs to repair 3 computers. John tells you on the phone: I have now looked at 2 of the 3 computers, and given what I saw, I can tell you that some of today's computers have viruses.

Choose one of the following options and return the label of that option.
A. Less than 50 percent
B. More than 50 percent
Your answer:
",Question3,Estimate (in percent) how likely it is that all 3 of the computers have viruses.,Critical,Partial,No,Yes,Over50,A,Less than 50 percent,Less than 50 percent,Less than 50 percent,A,"tensor([-0.8650, -1.7305])","[tensor(0.4210), tensor(0.1772)]",tensor([-6.1659]),"tensor([-1.0809, -1.6884])","[tensor(0.3393), tensor(0.1848)]",0.07460838,0.2991201877593994,0.062703446,1.1898609,-2.5955026,-1.2977513074874878,0.9372282
microsoft/phi-2,0.1,0,11,Scalar_Implicatures,"You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

The computers brought to John's repair shop almost always have viruses. Today John needs to repair 3 computers. John tells you on the phone: I have now looked at 2 of the 3 computers, and given what I saw, I can tell you that some of today's computers have viruses.","You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

The computers brought to John's repair shop almost always have viruses. Today John needs to repair 3 computers. John tells you on the phone: I have now looked at 2 of the 3 computers, and given what I saw, I can tell you that some of today's computers have viruses.

Choose one of the following options and return the label of that option.
A. Less than 50 percent
B. More than 50 percent
Your answer:
",Question3,Estimate (in percent) how likely it is that all 3 of the computers have viruses.,Critical,Partial,No,Yes,Over50,B,More than 50 percent,More than 50 percent,More than 50 percent,B,"tensor([-0.8650, -4.8945])","[tensor(0.4210), tensor(0.0075)]",tensor([-7.4080]),"tensor([-1.0809, -4.4853])","[tensor(0.3393), tensor(0.0113)]",0.003152483,0.21426379680633545,0.003824934,0.82419276,-5.759565,-2.8797824382781982,1.0347365
microsoft/phi-2,0.1,0,14,Scalar_Implicatures,"You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

The cereal boxes of Brian's favorite kind of cereal almost always have a toy in them. Today Brian is checking the 3 boxes he just bought. Brian tells you on the phone: I have now looked in 3 of the 3 cereal boxes, and given what I saw, I can tell you that some of today's cereal boxes have toys in them.","You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

The cereal boxes of Brian's favorite kind of cereal almost always have a toy in them. Today Brian is checking the 3 boxes he just bought. Brian tells you on the phone: I have now looked in 3 of the 3 cereal boxes, and given what I saw, I can tell you that some of today's cereal boxes have toys in them.

Choose one of the following options and return the label of that option.
A. No
B. Yes
Your answer:
",Question,Did Brian look in all of today's cereal boxes? ,Critical,Full,Yes,Yes,Under50,A,Yes,No,No,A,"tensor([-0.9748, -1.7876])","[tensor(0.3772), tensor(0.1674)]",tensor([-6.1659]),"tensor([-1.0978, -1.4548])","[tensor(0.3336), tensor(0.2335)]",0.06313396,0.27230149507522583,0.07787946,0.81066257,-2.7624965,-1.3812482357025146,1.0822314
microsoft/phi-2,0.1,0,14,Scalar_Implicatures,"You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

The cereal boxes of Brian's favorite kind of cereal almost always have a toy in them. Today Brian is checking the 3 boxes he just bought. Brian tells you on the phone: I have now looked in 3 of the 3 cereal boxes, and given what I saw, I can tell you that some of today's cereal boxes have toys in them.","You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

The cereal boxes of Brian's favorite kind of cereal almost always have a toy in them. Today Brian is checking the 3 boxes he just bought. Brian tells you on the phone: I have now looked in 3 of the 3 cereal boxes, and given what I saw, I can tell you that some of today's cereal boxes have toys in them.

Choose one of the following options and return the label of that option.
A. No
B. Yes
Your answer:
",Question,Did Brian look in all of today's cereal boxes? ,Critical,Full,Yes,Yes,Under50,B,No,Yes,Yes,B,"tensor([-0.9748, -5.1705])","[tensor(0.3772), tensor(0.0057)]",tensor([-7.4080]),"tensor([-1.0978, -4.1813])","[tensor(0.3336), tensor(0.0153)]",0.0021435134,0.19146586954593658,0.005096734,0.42056608,-6.145309,-3.0726544857025146,1.1640705
microsoft/phi-2,0.1,0,14,Scalar_Implicatures,"You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

The cereal boxes of Brian's favorite kind of cereal almost always have a toy in them. Today Brian is checking the 3 boxes he just bought. Brian tells you on the phone: I have now looked in 3 of the 3 cereal boxes, and given what I saw, I can tell you that some of today's cereal boxes have toys in them.","You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

The cereal boxes of Brian's favorite kind of cereal almost always have a toy in them. Today Brian is checking the 3 boxes he just bought. Brian tells you on the phone: I have now looked in 3 of the 3 cereal boxes, and given what I saw, I can tell you that some of today's cereal boxes have toys in them.

Choose one of the following options and return the label of that option.
A. No
B. Yes
Your answer:
",Question2,Did Brian say that some of today's cereal boxes have toys in them?,Critical,Full,Yes,Yes,Under50,A,Yes,No,No,A,"tensor([-0.9614, -1.6567])","[tensor(0.3824), tensor(0.1908)]",tensor([-6.1659]),"tensor([-1.0978, -1.4548])","[tensor(0.3336), tensor(0.2335)]",0.07294367,0.28656676411628723,0.07787946,0.93662274,-2.6180677,-1.3090338706970215,1.0256501
microsoft/phi-2,0.1,0,14,Scalar_Implicatures,"You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

The cereal boxes of Brian's favorite kind of cereal almost always have a toy in them. Today Brian is checking the 3 boxes he just bought. Brian tells you on the phone: I have now looked in 3 of the 3 cereal boxes, and given what I saw, I can tell you that some of today's cereal boxes have toys in them.","You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

The cereal boxes of Brian's favorite kind of cereal almost always have a toy in them. Today Brian is checking the 3 boxes he just bought. Brian tells you on the phone: I have now looked in 3 of the 3 cereal boxes, and given what I saw, I can tell you that some of today's cereal boxes have toys in them.

Choose one of the following options and return the label of that option.
A. No
B. Yes
Your answer:
",Question2,Did Brian say that some of today's cereal boxes have toys in them?,Critical,Full,Yes,Yes,Under50,B,No,Yes,Yes,B,"tensor([-0.9614, -4.6567])","[tensor(0.3824), tensor(0.0095)]",tensor([-7.4080]),"tensor([-1.0978, -4.1813])","[tensor(0.3336), tensor(0.0153)]",0.0036316505,0.19593024253845215,0.005096734,0.7125446,-5.6180677,-2.8090338706970215,1.0641983
microsoft/phi-2,0.1,0,14,Scalar_Implicatures,"You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

The cereal boxes of Brian's favorite kind of cereal almost always have a toy in them. Today Brian is checking the 3 boxes he just bought. Brian tells you on the phone: I have now looked in 3 of the 3 cereal boxes, and given what I saw, I can tell you that some of today's cereal boxes have toys in them.","You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

The cereal boxes of Brian's favorite kind of cereal almost always have a toy in them. Today Brian is checking the 3 boxes he just bought. Brian tells you on the phone: I have now looked in 3 of the 3 cereal boxes, and given what I saw, I can tell you that some of today's cereal boxes have toys in them.

Choose one of the following options and return the label of that option.
A. More than 50 percent
B. Less than 50 percent
Your answer:
",Question3,Estimate (in percent) how likely it is that all 3 of the boxes have a toy in them.,Critical,Full,Yes,Yes,Under50,A,Less than 50 percent,More than 50 percent,More than 50 percent,A,"tensor([-0.8965, -1.6781])","[tensor(0.4080), tensor(0.1867)]",tensor([-6.1659]),"tensor([-1.1021, -1.4472])","[tensor(0.3322), tensor(0.2352)]",0.0761827,0.29736047983169556,0.07813851,0.97497,-2.5746207,-1.2873103618621826,1.0099434
microsoft/phi-2,0.1,0,14,Scalar_Implicatures,"You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

The cereal boxes of Brian's favorite kind of cereal almost always have a toy in them. Today Brian is checking the 3 boxes he just bought. Brian tells you on the phone: I have now looked in 3 of the 3 cereal boxes, and given what I saw, I can tell you that some of today's cereal boxes have toys in them.","You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

The cereal boxes of Brian's favorite kind of cereal almost always have a toy in them. Today Brian is checking the 3 boxes he just bought. Brian tells you on the phone: I have now looked in 3 of the 3 cereal boxes, and given what I saw, I can tell you that some of today's cereal boxes have toys in them.

Choose one of the following options and return the label of that option.
A. More than 50 percent
B. Less than 50 percent
Your answer:
",Question3,Estimate (in percent) how likely it is that all 3 of the boxes have a toy in them.,Critical,Full,Yes,Yes,Under50,B,More than 50 percent,Less than 50 percent,Less than 50 percent,B,"tensor([-0.8965, -4.3969])","[tensor(0.4080), tensor(0.0123)]",tensor([-7.4080]),"tensor([-1.1021, -4.5487])","[tensor(0.3322), tensor(0.0106)]",0.005024796,0.2101566344499588,0.0035145814,1.4296997,-5.2933702,-2.6466851234436035,0.93674123
microsoft/phi-2,0.1,0,17,Scalar_Implicatures,"You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

The fruit baskets at Star Market almost always have apples in them. Today Sally needs to check whether 3 fruit baskets have apples in them. Sally tells you on the phone: I have now checked 2 of the 3 baskets, and given what I saw, I can tell you that some of today's baskets have apples in them.","You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

The fruit baskets at Star Market almost always have apples in them. Today Sally needs to check whether 3 fruit baskets have apples in them. Sally tells you on the phone: I have now checked 2 of the 3 baskets, and given what I saw, I can tell you that some of today's baskets have apples in them.

Choose one of the following options and return the label of that option.
A. No
B. Yes
Your answer:
",Question,Did Sally check all of today's fruit baskets? ,Critical,Partial,No,Yes,Over50,A,Yes,No,No,A,"tensor([-0.9960, -1.9709])","[tensor(0.3694), tensor(0.1393)]",tensor([-6.1659]),"tensor([-1.1362, -1.5536])","[tensor(0.3210), tensor(0.2115)]",0.051465422,0.2543513774871826,0.06789065,0.75806344,-2.966845,-1.4834225177764893,1.102975
