model_name,seed,item_id,phenomenon,prompt,question,options,option_names,shuffled_options,shuffled_option_names,option_numbering,cosine_sims,choice_probs_rounded,chosen_option
meta-llama/Llama-2-7b-hf,0,8,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Cathy worked very hard and became exhausted. She was carried unconscious to the hospital. Is this story coherent or not?
Your answer:
",Is this story coherent or not?,coherent,target,coherent,target,A,0.0807,0.4534,competitor
meta-llama/Llama-2-7b-hf,0,8,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Cathy worked very hard and became exhausted. She was carried unconscious to the hospital. Is this story coherent or not?
Your answer:
",Is this story coherent or not?,incoherent,competitor,incoherent,competitor,B,0.2668,0.5464,competitor
meta-llama/Llama-2-7b-hf,0,9,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

A dog ran toward a little girl eating ice cream. She was knocked down and shouted for her mother. Is this story coherent or not?
Your answer:
",Is this story coherent or not?,coherent,target,coherent,target,A,0.04837,0.4602,competitor
meta-llama/Llama-2-7b-hf,0,9,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

A dog ran toward a little girl eating ice cream. She was knocked down and shouted for her mother. Is this story coherent or not?
Your answer:
",Is this story coherent or not?,incoherent,competitor,incoherent,competitor,B,0.2073,0.5396,competitor
meta-llama/Llama-2-7b-hf,0,10,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Jane skipped her English class every now and then. She began to worry about her final exam.Is this story coherent or not?
Your answer:
",Is this story coherent or not?,coherent,target,incoherent,competitor,A,0.2455,0.5474,competitor
meta-llama/Llama-2-7b-hf,0,10,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Jane skipped her English class every now and then. She began to worry about her final exam.Is this story coherent or not?
Your answer:
",Is this story coherent or not?,incoherent,competitor,coherent,target,B,0.05545,0.4524,competitor
meta-llama/Llama-2-7b-hf,0,11,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Vicky was planning her first trip to Europe. She put her favorite bathing suit in her bag.Is this story coherent or not?
Your answer:
",Is this story coherent or not?,coherent,target,incoherent,competitor,A,0.261,0.5474,competitor
meta-llama/Llama-2-7b-hf,0,11,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Vicky was planning her first trip to Europe. She put her favorite bathing suit in her bag.Is this story coherent or not?
Your answer:
",Is this story coherent or not?,incoherent,competitor,coherent,target,B,0.07,0.4521,competitor
meta-llama/Llama-2-7b-hf,0,12,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Dick tripped over a chair and hit his head. A mirror fell down and shattered on the floor. Is this story coherent or not?
Your answer:
",Is this story coherent or not?,coherent,target,coherent,target,A,0.0666,0.4592,competitor
meta-llama/Llama-2-7b-hf,0,12,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Dick tripped over a chair and hit his head. A mirror fell down and shattered on the floor. Is this story coherent or not?
Your answer:
",Is this story coherent or not?,incoherent,competitor,incoherent,competitor,B,0.2295,0.54,competitor
meta-llama/Llama-2-7b-hf,0,13,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

The Senator wanted to practice corporate law. He decided not to run for re-election.Is this story coherent or not?
Your answer:
",Is this story coherent or not?,coherent,target,incoherent,competitor,A,0.2915,0.551,competitor
meta-llama/Llama-2-7b-hf,0,13,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

The Senator wanted to practice corporate law. He decided not to run for re-election.Is this story coherent or not?
Your answer:
",Is this story coherent or not?,incoherent,competitor,coherent,target,B,0.0889,0.4495,competitor
meta-llama/Llama-2-7b-hf,0,14,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Joey got angry at his brother in a game. The next day his body was covered with bruises.Is this story coherent or not?
Your answer:
",Is this story coherent or not?,coherent,target,incoherent,competitor,A,0.258,0.5464,competitor
meta-llama/Llama-2-7b-hf,0,14,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Joey got angry at his brother in a game. The next day his body was covered with bruises.Is this story coherent or not?
Your answer:
",Is this story coherent or not?,incoherent,competitor,coherent,target,B,0.07025,0.4534,competitor
meta-llama/Llama-2-7b-hf,0,15,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

The rain storm was approaching the city. The papers on the desk blew off onto the floor.Is this story coherent or not?
Your answer:
",Is this story coherent or not?,coherent,target,coherent,target,A,0.0739,0.4539,competitor
meta-llama/Llama-2-7b-hf,0,15,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

The rain storm was approaching the city. The papers on the desk blew off onto the floor.Is this story coherent or not?
Your answer:
",Is this story coherent or not?,incoherent,competitor,incoherent,competitor,B,0.259,0.546,competitor
meta-llama/Llama-2-7b-hf,0,16,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Greg was working too hard to have enough rest. His driving became more dangerous each day.Is this story coherent or not?
Your answer:
",Is this story coherent or not?,coherent,target,incoherent,competitor,A,0.2566,0.548,competitor
meta-llama/Llama-2-7b-hf,0,16,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Greg was working too hard to have enough rest. His driving became more dangerous each day.Is this story coherent or not?
Your answer:
",Is this story coherent or not?,incoherent,competitor,coherent,target,B,0.0633,0.4517,competitor
meta-llama/Llama-2-7b-hf,0,17,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Lisa commuted to her office an hour each way. She opened the paper to look at the apartment listing.Is this story coherent or not?
Your answer:
",Is this story coherent or not?,coherent,target,coherent,target,A,0.0712,0.4539,competitor
meta-llama/Llama-2-7b-hf,0,17,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Lisa commuted to her office an hour each way. She opened the paper to look at the apartment listing.Is this story coherent or not?
Your answer:
",Is this story coherent or not?,incoherent,competitor,incoherent,competitor,B,0.258,0.5464,competitor
meta-llama/Llama-2-7b-hf,0,18,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Richard remembered it was a big day for Karen. He spent the whole day shopping for a present.Is this story coherent or not?
Your answer:
",Is this story coherent or not?,coherent,target,incoherent,competitor,A,0.2705,0.5493,competitor
meta-llama/Llama-2-7b-hf,0,18,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Richard remembered it was a big day for Karen. He spent the whole day shopping for a present.Is this story coherent or not?
Your answer:
",Is this story coherent or not?,incoherent,competitor,coherent,target,B,0.0731,0.451,competitor
meta-llama/Llama-2-7b-hf,0,19,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Jerry read the copy of his manuscript. The next day he yelled at his secretary.Is this story coherent or not?
Your answer:
",Is this story coherent or not?,coherent,target,incoherent,competitor,A,0.2534,0.546,competitor
meta-llama/Llama-2-7b-hf,0,19,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Jerry read the copy of his manuscript. The next day he yelled at his secretary.Is this story coherent or not?
Your answer:
",Is this story coherent or not?,incoherent,competitor,coherent,target,B,0.069,0.454,competitor
meta-llama/Llama-2-7b-hf,0,20,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Cleo brushed against a table with a vase on it. The water spilled onto the expensive carpet.Is this story coherent or not?
Your answer:
",Is this story coherent or not?,coherent,target,coherent,target,A,0.07336,0.4524,competitor
meta-llama/Llama-2-7b-hf,0,20,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Cleo brushed against a table with a vase on it. The water spilled onto the expensive carpet.Is this story coherent or not?
Your answer:
",Is this story coherent or not?,incoherent,competitor,incoherent,competitor,B,0.2654,0.548,competitor
meta-llama/Llama-2-7b-hf,0,21,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Mary's exam was about to start. Some friends had remembered her birthday.Is this story coherent or not?
Your answer:
",Is this story coherent or not?,incoherent,target,incoherent,target,A,0.2732,0.5503,target
meta-llama/Llama-2-7b-hf,0,21,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Mary's exam was about to start. Some friends had remembered her birthday.Is this story coherent or not?
Your answer:
",Is this story coherent or not?,coherent,competitor,coherent,competitor,B,0.07153,0.4497,target
meta-llama/Llama-2-7b-hf,0,22,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

The lights have been on since last night. He turned on the TV for a weather report.Is this story coherent or not?
Your answer:
",Is this story coherent or not?,incoherent,target,coherent,competitor,A,0.0733,0.4524,target
meta-llama/Llama-2-7b-hf,0,22,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

The lights have been on since last night. He turned on the TV for a weather report.Is this story coherent or not?
Your answer:
",Is this story coherent or not?,coherent,competitor,incoherent,target,B,0.2644,0.548,target
meta-llama/Llama-2-7b-hf,0,23,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Bob was looking forward to the long holiday. He begged his family doctor to come at once.Is this story coherent or not?
Your answer:
",Is this story coherent or not?,incoherent,target,incoherent,target,A,0.2515,0.5464,target
meta-llama/Llama-2-7b-hf,0,23,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Bob was looking forward to the long holiday. He begged his family doctor to come at once.Is this story coherent or not?
Your answer:
",Is this story coherent or not?,coherent,competitor,coherent,competitor,B,0.06476,0.4536,target
meta-llama/Llama-2-7b-hf,0,24,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Sharon's car was totally wrecked last week. She was knocked down and shouted for her motherIs this story coherent or not?
Your answer:
",Is this story coherent or not?,incoherent,target,incoherent,target,A,0.3127,0.5566,target
meta-llama/Llama-2-7b-hf,0,24,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Sharon's car was totally wrecked last week. She was knocked down and shouted for her motherIs this story coherent or not?
Your answer:
",Is this story coherent or not?,coherent,competitor,coherent,competitor,B,0.0856,0.443,target
meta-llama/Llama-2-7b-hf,0,25,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Allen told his mother that he had a car accident. She began to worry about her final exam.Is this story coherent or not?
Your answer:
",Is this story coherent or not?,incoherent,target,incoherent,target,A,0.2189,0.5454,target
meta-llama/Llama-2-7b-hf,0,25,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Allen told his mother that he had a car accident. She began to worry about her final exam.Is this story coherent or not?
Your answer:
",Is this story coherent or not?,coherent,competitor,coherent,competitor,B,0.03757,0.4546,target
meta-llama/Llama-2-7b-hf,0,26,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

A dog ran toward a little girl eating ice cream. She went to the bank hoping to get a loan. Is this story coherent or not?
Your answer:
",Is this story coherent or not?,incoherent,target,coherent,competitor,A,0.06396,0.4604,target
meta-llama/Llama-2-7b-hf,0,26,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

A dog ran toward a little girl eating ice cream. She went to the bank hoping to get a loan. Is this story coherent or not?
Your answer:
",Is this story coherent or not?,coherent,competitor,incoherent,target,B,0.2242,0.54,target
meta-llama/Llama-2-7b-hf,0,27,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Jane skipped her English class every now and then. She got upset and began to cry suddenly. Is this story coherent or not?
Your answer:
",Is this story coherent or not?,incoherent,target,incoherent,target,A,0.214,0.541,target
meta-llama/Llama-2-7b-hf,0,27,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Jane skipped her English class every now and then. She got upset and began to cry suddenly. Is this story coherent or not?
Your answer:
",Is this story coherent or not?,coherent,competitor,coherent,competitor,B,0.05,0.459,target
meta-llama/Llama-2-7b-hf,0,28,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Bart sat next to a pretty girl in his class. She was carried unconscious to a hospital. Is this story coherent or not?
Your answer:
",Is this story coherent or not?,incoherent,target,incoherent,target,A,0.2463,0.544,target
meta-llama/Llama-2-7b-hf,0,28,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Bart sat next to a pretty girl in his class. She was carried unconscious to a hospital. Is this story coherent or not?
Your answer:
",Is this story coherent or not?,coherent,competitor,coherent,competitor,B,0.0685,0.4556,target
meta-llama/Llama-2-7b-hf,0,29,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Vicky was planning her first trip to Europe. A mirror fell down and shattered on the floor.Is this story coherent or not?
Your answer:
",Is this story coherent or not?,incoherent,target,incoherent,target,A,0.2786,0.5493,target
meta-llama/Llama-2-7b-hf,0,29,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Vicky was planning her first trip to Europe. A mirror fell down and shattered on the floor.Is this story coherent or not?
Your answer:
",Is this story coherent or not?,coherent,competitor,coherent,competitor,B,0.08057,0.4504,target
meta-llama/Llama-2-7b-hf,0,30,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Dick tripped over a chair and hit his head. He decided not to run for re-election. Is this story coherent or not?
Your answer:
",Is this story coherent or not?,incoherent,target,coherent,competitor,A,0.0828,0.4565,target
meta-llama/Llama-2-7b-hf,0,30,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Dick tripped over a chair and hit his head. He decided not to run for re-election. Is this story coherent or not?
Your answer:
",Is this story coherent or not?,coherent,competitor,incoherent,target,B,0.2568,0.5435,target
meta-llama/Llama-2-7b-hf,0,31,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Tony had a fight with his friend near a pond. His driving became more dangerous each day.Is this story coherent or not?
Your answer:
",Is this story coherent or not?,incoherent,target,coherent,competitor,A,0.06366,0.4539,target
meta-llama/Llama-2-7b-hf,0,31,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Tony had a fight with his friend near a pond. His driving became more dangerous each day.Is this story coherent or not?
Your answer:
",Is this story coherent or not?,coherent,competitor,incoherent,target,B,0.2488,0.5464,target
meta-llama/Llama-2-7b-hf,0,32,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

The rain storm was approaching the city. The next day the boy's body was covered with bruises.Is this story coherent or not?
Your answer:
",Is this story coherent or not?,incoherent,target,coherent,competitor,A,0.0835,0.451,target
meta-llama/Llama-2-7b-hf,0,32,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

The rain storm was approaching the city. The next day the boy's body was covered with bruises.Is this story coherent or not?
Your answer:
",Is this story coherent or not?,coherent,competitor,incoherent,target,B,0.2793,0.549,target
meta-llama/Llama-2-7b-hf,0,33,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Bill considered various high-tech careers. He walked home, soaking wet, to change his clothes.Is this story coherent or not?
Your answer:
",Is this story coherent or not?,incoherent,target,incoherent,target,A,0.2693,0.5464,target
meta-llama/Llama-2-7b-hf,0,33,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Bill considered various high-tech careers. He walked home, soaking wet, to change his clothes.Is this story coherent or not?
Your answer:
",Is this story coherent or not?,coherent,competitor,coherent,competitor,B,0.08246,0.4536,target
meta-llama/Llama-2-7b-hf,0,34,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Ed wanted to leave his father's business. He decided not to go out with him any more.Is this story coherent or not?
Your answer:
",Is this story coherent or not?,incoherent,target,coherent,competitor,A,0.0705,0.4504,target
meta-llama/Llama-2-7b-hf,0,34,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Ed wanted to leave his father's business. He decided not to go out with him any more.Is this story coherent or not?
Your answer:
",Is this story coherent or not?,coherent,competitor,incoherent,target,B,0.2693,0.5493,target
meta-llama/Llama-2-7b-hf,0,35,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Ann had been absent from school for weeks. The papers on the desk blew off onto the floor.Is this story coherent or not?
Your answer:
",Is this story coherent or not?,incoherent,target,incoherent,target,A,0.257,0.548,target
meta-llama/Llama-2-7b-hf,0,35,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Ann had been absent from school for weeks. The papers on the desk blew off onto the floor.Is this story coherent or not?
Your answer:
",Is this story coherent or not?,coherent,competitor,coherent,competitor,B,0.0656,0.4524,target
meta-llama/Llama-2-7b-hf,0,36,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Greg was working too hard to have enough rest. He spent the whole day shopping for a present.Is this story coherent or not?
Your answer:
",Is this story coherent or not?,incoherent,target,incoherent,target,A,0.2625,0.5493,target
meta-llama/Llama-2-7b-hf,0,36,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Greg was working too hard to have enough rest. He spent the whole day shopping for a present.Is this story coherent or not?
Your answer:
",Is this story coherent or not?,coherent,competitor,coherent,competitor,B,0.06604,0.4514,target
meta-llama/Llama-2-7b-hf,0,37,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Ellen was not able to eat breakfast before work. She had a heated discussion until midnight.Is this story coherent or not?
Your answer:
",Is this story coherent or not?,incoherent,target,coherent,competitor,A,0.08844,0.4504,target
meta-llama/Llama-2-7b-hf,0,37,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Ellen was not able to eat breakfast before work. She had a heated discussion until midnight.Is this story coherent or not?
Your answer:
",Is this story coherent or not?,coherent,competitor,incoherent,target,B,0.287,0.5493,target
meta-llama/Llama-2-7b-hf,0,38,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Lisa commuted to her office an hour each way. The water spilled onto the expensive carpet.Is this story coherent or not?
Your answer:
",Is this story coherent or not?,incoherent,target,incoherent,target,A,0.273,0.548,target
meta-llama/Llama-2-7b-hf,0,38,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Lisa commuted to her office an hour each way. The water spilled onto the expensive carpet.Is this story coherent or not?
Your answer:
",Is this story coherent or not?,coherent,competitor,coherent,competitor,B,0.08167,0.4524,target
meta-llama/Llama-2-7b-hf,0,39,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Jerry read the copy of his manuscript. Frantically, he searched through the medicine cabinet.Is this story coherent or not?
Your answer:
",Is this story coherent or not?,incoherent,target,coherent,competitor,A,0.0834,0.4553,target
meta-llama/Llama-2-7b-hf,0,39,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Jerry read the copy of his manuscript. Frantically, he searched through the medicine cabinet.Is this story coherent or not?
Your answer:
",Is this story coherent or not?,coherent,competitor,incoherent,target,B,0.2625,0.5444,target
meta-llama/Llama-2-7b-hf,0,40,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Cleo brushed against a table with a vase on it. She decided to study harder to catch up.Is this story coherent or not?
Your answer:
",Is this story coherent or not?,incoherent,target,coherent,competitor,A,0.07623,0.4517,target
meta-llama/Llama-2-7b-hf,0,40,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Cleo brushed against a table with a vase on it. She decided to study harder to catch up.Is this story coherent or not?
Your answer:
",Is this story coherent or not?,coherent,competitor,incoherent,target,B,0.2698,0.5483,target
