item_number,prompt,true_answer_key,true_answer,scenarios,options
11,"Task: You will read short stories that describe everyday situations. Each story will be followed by an explanation of why one character in that scenario responds in a certain way. Read each story and the associated explanation. Your task is to decide how plausible is that explanation. The degree varies from ""very implausible"", ""implausible"", ""at chance"", ""plausible"", ""very plausible"". Answer only with one degree. Scenario: John is a teacher at an elementary school. When talking with the principal about a new student, who did poorly on her entrance examination, John said, ""This one is really sharp."" What did John want to convey? Explanation: The student is not very clever.",2,Explanation: The student is not very clever.,"John is a teacher at an elementary school. When talking with the principal about a new student, who did poorly on her entrance examination, John said, ""This one is really sharp."" What did John want to convey?","['The student is smart.', 'The student is not very clever.', 'The entrance exam is unfair. ', 'The pencils need to be sharpened.']"
12,"Task: You will read short stories that describe everyday situations. Each story will be followed by an explanation of why one character in that scenario responds in a certain way. Read each story and the associated explanation. Your task is to decide how plausible is that explanation. The degree varies from ""very implausible"", ""implausible"", ""at chance"", ""plausible"", ""very plausible"". Answer only with one degree. Scenario: Melissa's friend convinces her to accompany her to a nightclub that her friend says is ""super hot"". When they arrive, it is so cold inside that they can see their breath. Melissa turns to her friend and says, ""The heat is really on in here."" What did Melissa want to convey? Explanation: It is too cold.",2,Explanation: It is too cold.,"Melissa's friend convinces her to accompany her to a nightclub that her friend says is ""super hot"". When they arrive, it is so cold inside that they can see their breath. Melissa turns to her friend and says, ""The heat is really on in here."" What did Melissa want to convey?","['It is too hot.', 'It is too cold.', 'It is too loud.', 'It is too bright. ']"
13,"Task: You will read short stories that describe everyday situations. Each story will be followed by an explanation of why one character in that scenario responds in a certain way. Read each story and the associated explanation. Your task is to decide how plausible is that explanation. The degree varies from ""very implausible"", ""implausible"", ""at chance"", ""plausible"", ""very plausible"". Answer only with one degree. Scenario: Your friend is working on his novel and is not making any progress. When you ask him how it is going he says, ""It couldn't be any better.""  What does your friend want to convey? Explanation: He is unhappy with his work.",2,Explanation: He is unhappy with his work.,"Your friend is working on his novel and is not making any progress. When you ask him how it is going he says, ""It couldn't be any better.""  What does your friend want to convey?","['He is happy with his work.', 'He is unhappy with his work.', 'He needs to polish his style.', 'He needs to buy a new car.']"
14,"Task: You will read short stories that describe everyday situations. Each story will be followed by an explanation of why one character in that scenario responds in a certain way. Read each story and the associated explanation. Your task is to decide how plausible is that explanation. The degree varies from ""very implausible"", ""implausible"", ""at chance"", ""plausible"", ""very plausible"". Answer only with one degree. Scenario: Tom, who is who is a gourmet chef, was offered a job at a new restaurant. Tom's potential employer offered him really low pay and no benefits. When you ask Tom what he thinks of the offer he says, ""Well, their generosity knows no bounds."" What does Tom want to convey? Explanation: He is disappointed with the job offer. ",2,Explanation: He is disappointed with the job offer. ,"Tom, who is who is a gourmet chef, was offered a job at a new restaurant. Tom's potential employer offered him really low pay and no benefits. When you ask Tom what he thinks of the offer he says, ""Well, their generosity knows no bounds."" What does Tom want to convey?","['He is excited about the job offer.', 'He is disappointed with the job offer. ', 'He is glad to be employed', 'He is tired of jogging every morning.']"
15,"Task: You will read short stories that describe everyday situations. Each story will be followed by an explanation of why one character in that scenario responds in a certain way. Read each story and the associated explanation. Your task is to decide how plausible is that explanation. The degree varies from ""very implausible"", ""implausible"", ""at chance"", ""plausible"", ""very plausible"". Answer only with one degree. Scenario: Megan and Kristine were looking after the neighbor's children one afternoon. The kids were energetic, enthusiastic, and well behaved. On the way home, Kristine said, ""Those kids were not fun at all."" What does Kristine want to convey? Explanation: Babysitting was an enjoyable experience.",2,Explanation: Babysitting was an enjoyable experience.,"Megan and Kristine were looking after the neighbor's children one afternoon. The kids were energetic, enthusiastic, and well behaved. On the way home, Kristine said, ""Those kids were not fun at all."" What does Kristine want to convey?","['Babysitting was an unpleasant experience.', 'Babysitting was an enjoyable experience.', 'Babysitting does not pay well.', 'Rock music should be prohibited. ']"
16,"Task: You will read short stories that describe everyday situations. Each story will be followed by an explanation of why one character in that scenario responds in a certain way. Read each story and the associated explanation. Your task is to decide how plausible is that explanation. The degree varies from ""very implausible"", ""implausible"", ""at chance"", ""plausible"", ""very plausible"". Answer only with one degree. Scenario: Laura and Lynn were having coffee at a local caf&eacute;. They were talking about a boring date that Laura had had the night before. They had watched old reruns of cartoons all evening. Lynn said, ""That sounds so exciting.""  What did Lynn want to convey? Explanation: Laura had a dull experience.",2,Explanation: Laura had a dull experience.,"Laura and Lynn were having coffee at a local caf&eacute;. They were talking about a boring date that Laura had had the night before. They had watched old reruns of cartoons all evening. Lynn said, ""That sounds so exciting.""  What did Lynn want to convey?","['Laura had a thrilling experience.', 'Laura had a dull experience.', 'Laura got food poisoning.', 'Laura needs a babysitter.']"
17,"Task: You will read short stories that describe everyday situations. Each story will be followed by an explanation of why one character in that scenario responds in a certain way. Read each story and the associated explanation. Your task is to decide how plausible is that explanation. The degree varies from ""very implausible"", ""implausible"", ""at chance"", ""plausible"", ""very plausible"". Answer only with one degree. Scenario: While Tom and a new acquaintance from work, Sara, were chatting at a party, they noticed a colleague across the room. She was standing alone holding a drink and a CD. Tom points at the girl and comments:  ""The life of the party, right there."" What did Tom want to convey? Explanation: Their colleague is quite unsociable.",2,Explanation: Their colleague is quite unsociable.,"While Tom and a new acquaintance from work, Sara, were chatting at a party, they noticed a colleague across the room. She was standing alone holding a drink and a CD. Tom points at the girl and comments:  ""The life of the party, right there."" What did Tom want to convey?","['Their colleague is very sociable.', 'Their colleague is quite unsociable.', 'Their colleague has good taste in music.', 'Their colleague has good taste in fashion.']"
18,"Task: You will read short stories that describe everyday situations. Each story will be followed by an explanation of why one character in that scenario responds in a certain way. Read each story and the associated explanation. Your task is to decide how plausible is that explanation. The degree varies from ""very implausible"", ""implausible"", ""at chance"", ""plausible"", ""very plausible"". Answer only with one degree. Scenario: Jane and her best friend, Arthur, were selling chocolates door to door to raise money for a charity event. Jane and Arthur approached a house and tried to sell their candy to a mean couple. As they walked away, Jane comments: ""People in this community are so nice!""  What did Jane want to convey? Explanation: It is an unfriendly community.",2,Explanation: It is an unfriendly community.,"Jane and her best friend, Arthur, were selling chocolates door to door to raise money for a charity event. Jane and Arthur approached a house and tried to sell their candy to a mean couple. As they walked away, Jane comments: ""People in this community are so nice!""  What did Jane want to convey?","['It is an amicable community.', 'It is an unfriendly community.', 'It is a community of chocolate lovers.', 'It is a community of animal lovers.']"
19,"Task: You will read short stories that describe everyday situations. Each story will be followed by an explanation of why one character in that scenario responds in a certain way. Read each story and the associated explanation. Your task is to decide how plausible is that explanation. The degree varies from ""very implausible"", ""implausible"", ""at chance"", ""plausible"", ""very plausible"". Answer only with one degree. Scenario: Penny, Juanita, and Jill have tickets to a basketball game. At halftime, Juanita offers to go get some drinks. Forty minutes later, she finally returns, and Jill remarks, ""That was quick."" What did Jill want to convey? Explanation: Juanita is always so slow.",2,Explanation: Juanita is always so slow.,"Penny, Juanita, and Jill have tickets to a basketball game. At halftime, Juanita offers to go get some drinks. Forty minutes later, she finally returns, and Jill remarks, ""That was quick."" What did Jill want to convey?","['Juanita is always so fast.', 'Juanita is always so slow.', 'Juanita has the view of the game.', 'Juanita has the best cat.  ']"
20,"Task: You will read short stories that describe everyday situations. Each story will be followed by an explanation of why one character in that scenario responds in a certain way. Read each story and the associated explanation. Your task is to decide how plausible is that explanation. The degree varies from ""very implausible"", ""implausible"", ""at chance"", ""plausible"", ""very plausible"". Answer only with one degree. Scenario: Mark gave his former colleague Krista tickets to a lecture where he was a guest speaker. Within the first 20 minutes of the lecture, the audience started to leave. The next day Krista talked to Mary about the lecture. Krista said: "" Oh, Mark held the audience's attention so well."" What did Krista want to convey? Explanation: Mark's speaking skills leave much to be desired.",2,Explanation: Mark's speaking skills leave much to be desired.,"Mark gave his former colleague Krista tickets to a lecture where he was a guest speaker. Within the first 20 minutes of the lecture, the audience started to leave. The next day Krista talked to Mary about the lecture. Krista said: "" Oh, Mark held the audience's attention so well."" What did Krista want to convey?","['Mark is a great speaker.', ""Mark's speaking skills leave much to be desired."", ""Mark's speech was on captivating topic."", ""Mark's speech was about ants.  ""]"
21,"Task: You will read short stories that describe everyday situations. Each story will be followed by an explanation of why one character in that scenario responds in a certain way. Read each story and the associated explanation. Your task is to decide how plausible is that explanation. The degree varies from ""very implausible"", ""implausible"", ""at chance"", ""plausible"", ""very plausible"". Answer only with one degree. Scenario: Tracy was in a dance recital and invited her roommate Steve to watch. Tracy tripped many times during her performance. The next day Steve was talking to Dawn about the recital. Steve said: ""Some people have such natural grace!"" What did Steve want to convey? Explanation: Tracy is not a good dancer.",2,Explanation: Tracy is not a good dancer.,"Tracy was in a dance recital and invited her roommate Steve to watch. Tracy tripped many times during her performance. The next day Steve was talking to Dawn about the recital. Steve said: ""Some people have such natural grace!"" What did Steve want to convey?","['Tracy is a great dancer.', 'Tracy is not a good dancer.', ""Tracy's dancing outfit is impressive."", ""Tracy's math skills are impressive.  ""]"
22,"Task: You will read short stories that describe everyday situations. Each story will be followed by an explanation of why one character in that scenario responds in a certain way. Read each story and the associated explanation. Your task is to decide how plausible is that explanation. The degree varies from ""very implausible"", ""implausible"", ""at chance"", ""plausible"", ""very plausible"". Answer only with one degree. Scenario: John finished the race way ahead of the other competitors. His friend laughed and said to him, ""You are so slow!"" What did his friend want to convey? Explanation: John is an outstanding runner.",2,Explanation: John is an outstanding runner.,"John finished the race way ahead of the other competitors. His friend laughed and said to him, ""You are so slow!"" What did his friend want to convey?","['John is not a good runner.', 'John is an outstanding runner.', 'John needs new running shoes.', 'John needs new computer. ']"
23,"Task: You will read short stories that describe everyday situations. Each story will be followed by an explanation of why one character in that scenario responds in a certain way. Read each story and the associated explanation. Your task is to decide how plausible is that explanation. The degree varies from ""very implausible"", ""implausible"", ""at chance"", ""plausible"", ""very plausible"". Answer only with one degree. Scenario: The Jones' had hired a new gardener. After a week the lawn was looking particularly unkempt. John remarked to his wife, ""He does such a good job!"" What did John want to convey? Explanation: He is unhappy with the new gardener.",2,Explanation: He is unhappy with the new gardener.,"The Jones' had hired a new gardener. After a week the lawn was looking particularly unkempt. John remarked to his wife, ""He does such a good job!"" What did John want to convey?","['He is happy with the new gardener.', 'He is unhappy with the new gardener.', 'He likes daisies.', 'He likes thrillers. ']"
24,"Task: You will read short stories that describe everyday situations. Each story will be followed by an explanation of why one character in that scenario responds in a certain way. Read each story and the associated explanation. Your task is to decide how plausible is that explanation. The degree varies from ""very implausible"", ""implausible"", ""at chance"", ""plausible"", ""very plausible"". Answer only with one degree. Scenario: It was the night before her exam and Tilly had read none of the course texts. Her brother said, ""I see your revision is going well.""  What did he want to convey? Explanation: Tilly is unready for the exam.",2,Explanation: Tilly is unready for the exam.,"It was the night before her exam and Tilly had read none of the course texts. Her brother said, ""I see your revision is going well.""  What did he want to convey?","['Tilly is ready for the exam.', 'Tilly is unready for the exam.', 'Tilly cannot find the textbook.', 'Tilly cannot find the sneakers.']"
25,"Task: You will read short stories that describe everyday situations. Each story will be followed by an explanation of why one character in that scenario responds in a certain way. Read each story and the associated explanation. Your task is to decide how plausible is that explanation. The degree varies from ""very implausible"", ""implausible"", ""at chance"", ""plausible"", ""very plausible"". Answer only with one degree. Scenario: Barb and Tony went to a high school reunion. Barb was running late and came underdressed. Tony commented, ""Classy outfit."" What did Tony want to convey? Explanation: He thought that her dress was not appropriate for the occasion.",2,Explanation: He thought that her dress was not appropriate for the occasion.,"Barb and Tony went to a high school reunion. Barb was running late and came underdressed. Tony commented, ""Classy outfit."" What did Tony want to convey?","['He liked her choice of dress.', 'He thought that her dress was not appropriate for the occasion.', 'He thought that Barb forgot her purse in the hall.', 'He thought that Barb forgot to call the cab.']"
