phenomenon,item_number,prompt,randomized_option_order,randomized_labels_complex,randomized_true_answer,seed,target,competitor,distractor_plausibleliteral,distractor_literal,distractor_nonsequitut
MPV,11,"Jody and Mark were discussing their daughter's behavior. Mark said: ""She is walking all over her brothers."" What did Mark mean?","[3, 2, 4, 5, 1]","['IncorrectPlausibleLiteral', 'CorrectNonLiteral', 'IncorrectNonLiteral', 'IncorrectNonSequitur', 'IncorrectLiteral']",2,0,She can make her brothers do whatever she wishes.,Their daughter should be less aggressive towards her brothers.,Their daughter finally started to walk.,She is not paying attention when walking and often steps on her little brothers by accident.,She enjoys long walks with her brothers.
MPV,12,"During a business meeting, the general manager of the company said to the financial manager: ""The new accountant that you hired is a juggler."" What did the general manager mean? ","[4, 5, 3, 1, 2]","['IncorrectNonLiteral', 'IncorrectNonSequitur', 'IncorrectPlausibleLiteral', 'IncorrectLiteral', 'CorrectNonLiteral']",5,0,The newly hired person is good at manipulating many things at once.,The newly hired person dressed up as a clown.,The newly hired person used to work in a circus show.,The newly hired person can toss and catch objects in the air.,The newly hired person has too many excuses for being late.
MPV,13,"Ken was telling his friend about his shopping experience on Black Friday. Ken said: ""The store that I went to was a jungle."" What did Ken mean?","[1, 4, 3, 5, 2]","['IncorrectPlausibleLiteral', 'IncorrectNonSequitur', 'IncorrectNonLiteral', 'IncorrectLiteral', 'CorrectNonLiteral']",5,0,The store was complete chaos.,The store that he went to sold some exotic pets.,There were a lot of tropical trees in that store.,The store was in a jungle.,There were a lot of mosquitoes in that store.
MPV,14,"Janet was telling her friend about the show that she saw last night. Janet said: ""The dancers were butterflies."" What did Janet mean?","[4, 5, 1, 2, 3]","['IncorrectNonSequitur', 'IncorrectLiteral', 'IncorrectPlausibleLiteral', 'CorrectNonLiteral', 'IncorrectNonLiteral']",4,0,The dancers flitted around the stage.,There were too many dancers in this show.,The dancers portrayed butterflies in the show.,Butterflies were dancing on the stage.,She did not see any dancers in the show.
MPV,15,"Caitlyn was telling her husband about her new co-worker. Caitlyn said: ""Sally is a block of ice."" What did she mean?","[3, 4, 2, 5, 1]","['IncorrectNonLiteral', 'IncorrectNonSequitur', 'CorrectNonLiteral', 'IncorrectLiteral', 'IncorrectPlausibleLiteral']",3,0,Sally does not show any emotions.,Sally is very emotional and cries often.,Sally is coming down with a cold.,Sally is an ice sculpture.,Sally's hands are always cold.
MPV,16,"Robert and his wife are discussing their neighbor. Robert said: ""Our neighbor is a sheep."" What did Robert mean?  ","[4, 2, 5, 1, 3]","['IncorrectNonLiteral', 'CorrectNonLiteral', 'IncorrectNonSequitur', 'IncorrectLiteral', 'IncorrectPlausibleLiteral']",2,0,Their neigbor is a follower.,Their neighbor always wears wool sweaters.,Their neighbor has a unique haircut.,There is a sheep living next to them.,Their neigbor is charismatic.
MPV,17,"Lucy told her teacher: ""The book that you gave me has more holes in it than Swiss cheese."" What did Lucy mean?","[2, 5, 4, 3, 1]","['CorrectNonLiteral', 'IncorrectLiteral', 'IncorrectNonSequitur', 'IncorrectNonLiteral', 'IncorrectPlausibleLiteral']",1,0,The plot of the book lacks important components.,The book is about cheese making in Switzerland.,The book is in bad shape.,Many pages of the book are missing some parts.,The book smells funny.
MPV,18,"The teacher told Sam: ""You have too much on your plate."" What did the teacher mean?","[2, 3, 4, 5, 1]","['CorrectNonLiteral', 'IncorrectPlausibleLiteral', 'IncorrectNonLiteral', 'IncorrectNonSequitur', 'IncorrectLiteral']",1,0,Sam has too many things to take care of.,Sam should share food with his classmates.,Sam should think about his dietary habits.,Sam has too much food on his plate.,Sam should finish all the food that is on his plate.
MPV,19,"Melissa was discussing a new sales manager, who was hired a couple of days ago: ""She is a babe in the woods."" What did Melissa mean?","[4, 1, 2, 3, 5]","['IncorrectNonSequitur', 'IncorrectPlausibleLiteral', 'CorrectNonLiteral', 'IncorrectNonLiteral', 'IncorrectLiteral']",3,0,The new sales manager is very inexperienced. ,The new sales manager lives off of the grid.,The new sales manager is too young.,"The new sales manager is a baby, who lives in the woods.",The new sales manager used to work as a babysitter.
MPV,20,"John told his fiance: ""You are the tomato sauce to my pasta."" What did John mean?","[1, 2, 5, 3, 4]","['IncorrectPlausibleLiteral', 'CorrectNonLiteral', 'IncorrectLiteral', 'IncorrectNonLiteral', 'IncorrectNonSequitur']",2,0,They are meant to be together.,He would love some pasta for dinner.,They enjoy Italian cuisine.,The tomato sauce that she makes goes well with his pasta.,His fiance has bright red lips.
