model_name,temperature,phenomenon,decoding_scheme,question,seed,item_id,prompt,response,annotation_wang
google/flan-t5-xl,0.1,coherence,greedy,Is this story coherent or not?,2,16,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Greg was working too hard to have enough rest. His driving became more dangerous each day.

Is this story coherent or not?
Your answer:
",Yes,target
google/flan-t5-xl,0.1,coherence,greedy,Is this story coherent or not?,2,17,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Lisa commuted to her office an hour each way. She opened the paper to look at the apartment listing.

Is this story coherent or not?
Your answer:
",No,competitor
google/flan-t5-xl,0.1,coherence,greedy,Is this story coherent or not?,2,18,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Richard remembered it was a big day for Karen. He spent the whole day shopping for a present.

Is this story coherent or not?
Your answer:
",Yes,target
google/flan-t5-xl,0.1,coherence,greedy,Is this story coherent or not?,2,19,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Jerry read the copy of his manuscript. The next day he yelled at his secretary.

Is this story coherent or not?
Your answer:
",Yes,target
google/flan-t5-xl,0.1,coherence,greedy,Is this story coherent or not?,2,20,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Cleo brushed against a table with a vase on it. The water spilled onto the expensive carpet.

Is this story coherent or not?
Your answer:
",Yes,target
google/flan-t5-xl,0.1,coherence,greedy,Is this story coherent or not?,2,21,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Mary's exam was about to start. Some friends had remembered her birthday.

Is this story coherent or not?
Your answer:
",No,target
google/flan-t5-xl,0.1,coherence,greedy,Is this story coherent or not?,2,22,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

The lights have been on since last night. He turned on the TV for a weather report.

Is this story coherent or not?
Your answer:
",No,target
google/flan-t5-xl,0.1,coherence,greedy,Is this story coherent or not?,2,23,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Bob was looking forward to the long holiday. He begged his family doctor to come at once.

Is this story coherent or not?
Your answer:
",No,target
google/flan-t5-xl,0.1,coherence,greedy,Is this story coherent or not?,2,24,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Sharon's car was totally wrecked last week. She was knocked down and shouted for her mother

Is this story coherent or not?
Your answer:
",Yes,competitor
google/flan-t5-xl,0.1,coherence,greedy,Is this story coherent or not?,2,25,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Allen told his mother that he had a car accident. She began to worry about her final exam.

Is this story coherent or not?
Your answer:
",No,target
google/flan-t5-xl,0.1,coherence,greedy,Is this story coherent or not?,2,26,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

A dog ran toward a little girl eating ice cream. She went to the bank hoping to get a loan. 

Is this story coherent or not?
Your answer:
",No,target
google/flan-t5-xl,0.1,coherence,greedy,Is this story coherent or not?,2,27,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Jane skipped her English class every now and then. She got upset and began to cry suddenly. 

Is this story coherent or not?
Your answer:
",No,target
google/flan-t5-xl,0.1,coherence,greedy,Is this story coherent or not?,2,28,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Bart sat next to a pretty girl in his class. She was carried unconscious to a hospital. 

Is this story coherent or not?
Your answer:
",Yes,competitor
google/flan-t5-xl,0.1,coherence,greedy,Is this story coherent or not?,2,29,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Vicky was planning her first trip to Europe. A mirror fell down and shattered on the floor.

Is this story coherent or not?
Your answer:
",No,target
google/flan-t5-xl,0.1,coherence,greedy,Is this story coherent or not?,2,30,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Dick tripped over a chair and hit his head. He decided not to run for re-election. 

Is this story coherent or not?
Your answer:
",Yes,competitor
google/flan-t5-xl,0.1,coherence,greedy,Is this story coherent or not?,2,31,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Tony had a fight with his friend near a pond. His driving became more dangerous each day.

Is this story coherent or not?
Your answer:
",No,target
google/flan-t5-xl,0.1,coherence,greedy,Is this story coherent or not?,2,32,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

The rain storm was approaching the city. The next day the boy's body was covered with bruises.

Is this story coherent or not?
Your answer:
",No,target
google/flan-t5-xl,0.1,coherence,greedy,Is this story coherent or not?,2,33,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Bill considered various high-tech careers. He walked home, soaking wet, to change his clothes.

Is this story coherent or not?
Your answer:
",No,target
google/flan-t5-xl,0.1,coherence,greedy,Is this story coherent or not?,2,34,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Ed wanted to leave his father's business. He decided not to go out with him any more.

Is this story coherent or not?
Your answer:
",Yes,competitor
google/flan-t5-xl,0.1,coherence,greedy,Is this story coherent or not?,2,35,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Ann had been absent from school for weeks. The papers on the desk blew off onto the floor.

Is this story coherent or not?
Your answer:
",No,target
google/flan-t5-xl,0.1,coherence,greedy,Is this story coherent or not?,2,36,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Greg was working too hard to have enough rest. He spent the whole day shopping for a present.

Is this story coherent or not?
Your answer:
",No,target
google/flan-t5-xl,0.1,coherence,greedy,Is this story coherent or not?,2,37,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Ellen was not able to eat breakfast before work. She had a heated discussion until midnight.

Is this story coherent or not?
Your answer:
",No,target
google/flan-t5-xl,0.1,coherence,greedy,Is this story coherent or not?,2,38,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Lisa commuted to her office an hour each way. The water spilled onto the expensive carpet.

Is this story coherent or not?
Your answer:
",No,target
google/flan-t5-xl,0.1,coherence,greedy,Is this story coherent or not?,2,39,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Jerry read the copy of his manuscript. Frantically, he searched through the medicine cabinet.

Is this story coherent or not?
Your answer:
",No,target
google/flan-t5-xl,0.1,coherence,greedy,Is this story coherent or not?,2,40,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Cleo brushed against a table with a vase on it. She decided to study harder to catch up.

Is this story coherent or not?
Your answer:
",No,target
