model_name,temperature,phenomenon,decoding_scheme,question,seed,item_id,prompt,response,response_option,target,correct_option,competitor,distractor_associate,distractor_nonsequitur,incorrect_literal,incorrect_nonliteral,incorrect_associate,distractor_lexical_overlap,distractor_associative,distractor_plausibleliteral,distractor_literal,distractor_nonsequitut,incorrect_straightforward,associative_nonsequitur,funny_nonsequitur,neutral_nonsequitur,incorrect_lexical_overlap,incorrect_social_convention,annotation_tsvilodub,annotation_wang
meta-llama/Llama-2-7b-hf,0.1,humour,greedy,,3,11,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A woman was telling her friend, ""I made my husband a millionaire."" The friend replies, ""And what was he before you married him?"" asked the friend. The woman replies:


Your answer:
","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A woman was telling her friend, ""I made my husband a millionaire."" The friend replies, ""And what was he before you married him?"" asked the friend. The woman replies:


Your answer:


Your answer:


Your answer:


Your answer:


Your answer:


Your answer:


Your answer:


Your answer:


Your answer:


",error,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,0.1,humour,greedy,,3,12,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A boy from New York was being led through the swamps of Florida. ""Is it true that an alligator won't attack you if you carry a flashlight?"" asked the boy. The guide replied:


Your answer:
","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A boy from New York was being led through the swamps of Florida. ""Is it true that an alligator won't attack you if you carry a flashlight?"" asked the boy. The guide replied:


Your answer:


Your answer:


Your answer:


Your answer:


Your answer:


Your answer:


Your answer:


Your answer:


Your answer:


",error,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,0.1,humour,greedy,,3,13,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A woman decides to prepare her will. She tells her lawyer she had two final requests. First, she wanted to be cremated, and second she wanted her ashes scattered all over the local mall. ""Why the mall?"" asked the lawyer. She replied,


Your answer:
","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A woman decides to prepare her will. She tells her lawyer she had two final requests. First, she wanted to be cremated, and second she wanted her ashes scattered all over the local mall. ""Why the mall?"" asked the lawyer. She replied,


Your answer:


















































",error,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,0.1,humour,greedy,,3,14,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A U.S. airline executive, following government requirements, installed smoke detectors in the cargo area of planes. A spokesperson for the airline commented:


Your answer:
","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A U.S. airline executive, following government requirements, installed smoke detectors in the cargo area of planes. A spokesperson for the airline commented:


Your answer:


















































",error,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,0.1,humour,greedy,,3,15,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A famous French mime died of a cerebral hemorrhage, the school he founded confirmed today. The doctor said:


Your answer:
","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A famous French mime died of a cerebral hemorrhage, the school he founded confirmed today. The doctor said:


Your answer:


















































",error,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,0.1,humour,greedy,,3,16,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Two attorneys went into a diner and ordered drinks. Then they produced sandwiches from their briefcases and started to eat. The owner became quite concerned and told them, ""You can't eat your own sandwiches in here!"" The attorneys looked at each other and


Your answer:
","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Two attorneys went into a diner and ordered drinks. Then they produced sandwiches from their briefcases and started to eat. The owner became quite concerned and told them, ""You can't eat your own sandwiches in here!"" The attorneys looked at each other and


Your answer:


















































",error,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,0.1,humour,greedy,,3,17,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A young man hired by a supermarket reported to his first day of work. The manager greeted him with a warm handshake and a smile, gave him a broom and said, ""Your first job will be to sweep out the store."" ""But I'm a college graduate,"" the young man replied indignantly. ""Oh, I'm sorry. I didn't know that,"" said the manager.


Your answer:
","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A young man hired by a supermarket reported to his first day of work. The manager greeted him with a warm handshake and a smile, gave him a broom and said, ""Your first job will be to sweep out the store."" ""But I'm a college graduate,"" the young man replied indignantly. ""Oh, I'm sorry. I didn't know that,"" said the manager.


Your answer:



",error,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,0.1,humour,greedy,,3,18,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Two dog owners are arguing about which dog is smarter. One says: ""My dog is so smart that every morning, he waits for the paperboy to come around and then he takes the newspaper and brings it to me. ""I know..."" replies the other,


Your answer:
","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Two dog owners are arguing about which dog is smarter. One says: ""My dog is so smart that every morning, he waits for the paperboy to come around and then he takes the newspaper and brings it to me. ""I know..."" replies the other,


Your answer:


",error,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,0.1,humour,greedy,,3,19,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A man walks into a supermarket and buys: 1 bar of soap, 1 apple, 1 roll of toilet tissue, a single serving of cereal, and 1 pint of milk. The girl at the check out looks at him and says, ""Single, aren't you?"" The man replies very sarcastically, ""How did you guess?"" She says,


Your answer:","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A man walks into a supermarket and buys: 1 bar of soap, 1 apple, 1 roll of toilet tissue, a single serving of cereal, and 1 pint of milk. The girl at the check out looks at him and says, ""Single, aren't you?"" The man replies very sarcastically, ""How did you guess?"" She says,


Your answer:",error,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,0.1,humour,greedy,,3,20,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A neighborhood kid was looking to earn money. He knocked on the door of one house and asked the owner if he had any jobs for him to do. ""Well, you can paint my porch,"" he said, and handed the boy a can of red paint and a brush. The boy was eager to work, and the man went inside. 2 hours later, the boy knocked on the door again and said ""I'm done painting, but I've got to tell you,


Your answer:","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A neighborhood kid was looking to earn money. He knocked on the door of one house and asked the owner if he had any jobs for him to do. ""Well, you can paint my porch,"" he said, and handed the boy a can of red paint and a brush. The boy was eager to work, and the man went inside. 2 hours later, the boy knocked on the door again and said ""I'm done painting, but I've got to tell you,


Your answer:",error,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,0.1,humour,greedy,,3,21,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

An 8 year-old girl went to her dad and asked him, ""Daddy, what is sex?"" The father is a little surprised by the question, and gives her a detailed explanation. The girl looks at him with her mouth hanging open, and the father asks, ""Why did you ask this question?"" The girl replies,


Your answer:","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

An 8 year-old girl went to her dad and asked him, ""Daddy, what is sex?"" The father is a little surprised by the question, and gives her a detailed explanation. The girl looks at him with her mouth hanging open, and the father asks, ""Why did you ask this question?"" The girl replies,


Your answer:",error,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,0.1,humour,greedy,,3,22,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Mr. Miller and Mr. Wilson were at the auto show and began to talk about their children. Touching a shiny new car on the fender, Mr. Miller said, ""Your son drives like lightning, doesn't he?"" and Mr. Wilson answered:


Your answer:
","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Mr. Miller and Mr. Wilson were at the auto show and began to talk about their children. Touching a shiny new car on the fender, Mr. Miller said, ""Your son drives like lightning, doesn't he?"" and Mr. Wilson answered:


Your answer:


Your answer:


Your answer:


Your answer:


Your answer:


Your answer:


Your answer:


Your answer:


Your answer:


",error,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,0.1,humour,greedy,,3,23,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A guy is in a bar trying to begin a relationship with a girl. After they have talked for a while, he asks her for her phone number. ""It's in the phone book,"" she says. ""Fine,"" he answers, ""What's your last name?""


Your answer:
","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A guy is in a bar trying to begin a relationship with a girl. After they have talked for a while, he asks her for her phone number. ""It's in the phone book,"" she says. ""Fine,"" he answers, ""What's your last name?""


Your answer:


",error,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,0.1,humour,greedy,,3,24,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

As a man was driving down the freeway, his cell phone rang. Answering, he heard his wife's voice urgently warning him, ""Herman, I just heard on the news that there's a car going the wrong way on 28. Please be careful!"" ""Geez,"" said Herman,


Your answer:","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

As a man was driving down the freeway, his cell phone rang. Answering, he heard his wife's voice urgently warning him, ""Herman, I just heard on the news that there's a car going the wrong way on 28. Please be careful!"" ""Geez,"" said Herman,


Your answer:",error,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,0.1,humour,greedy,,3,25,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A guy walks into a bar and demands to know ""Who's the strongest in here?"" The toughest guy looks at him and says ""I am the strongest around here!"" The other guy politely asks,


Your answer:
","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A guy walks into a bar and demands to know ""Who's the strongest in here?"" The toughest guy looks at him and says ""I am the strongest around here!"" The other guy politely asks,


Your answer:


















































",error,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,0.1,maxims,greedy,Why has the speaker responded like this?,3,1,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""

Why has the speaker responded like this?
Your answer:
","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""

Why has the speaker responded like this?
Your answer:

### 1. Bob is trying to avoid talking about the presentation.

### 2. Bob is trying to avoid talking about the presentation.

### 3. Bob is trying to avoid talking about the presentation.",target,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,0.1,maxims,greedy,Why has the speaker responded like this?,3,2,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" 

Why has the speaker responded like this?
Your answer:
","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" 

Why has the speaker responded like this?
Your answer:

### 1. The speaker is trying to say that he is not interested in the painting.

### 2. The speaker is trying to say that he is not interested in the painting.

### 3.",incorrect_nonliteral,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,0.1,maxims,greedy,Why has the speaker responded like this?,3,3,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Leslie and Jane are chatting at a coffee shop. Leslie asks, ""Who was that man that I saw you with last night?"" Jane responds: ""The latte is unbelievable here.""

Why has the speaker responded like this?
Your answer:
","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Leslie and Jane are chatting at a coffee shop. Leslie asks, ""Who was that man that I saw you with last night?"" Jane responds: ""The latte is unbelievable here.""

Why has the speaker responded like this?
Your answer:

### 1.

Leslie and Jane are chatting at a coffee shop. Leslie asks, ""Who was that man that I saw you with last night?"" Jane responds: ""The latte is unbelievable",error,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,0.1,maxims,greedy,Why has the speaker responded like this?,3,4,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Kelsey is in a bad mood. Every minor thing irritates her. When she sees her husband watching a football game, she yells: ""Can you turn off the TV?"" Her husband replies:""Beer and chips would be awesome. Thanks!""

Why has the speaker responded like this?
Your answer:
","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Kelsey is in a bad mood. Every minor thing irritates her. When she sees her husband watching a football game, she yells: ""Can you turn off the TV?"" Her husband replies:""Beer and chips would be awesome. Thanks!""

Why has the speaker responded like this?
Your answer:

### 1.

### 2.

### 3.

### 4.

### 5.

### 6.

### 7.",error,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,0.1,maxims,greedy,Why has the speaker responded like this?,3,5,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mark is discussing Jane, a senior financial manager who he hired, with his colleague John. Mark asks: ""How is Jane managing her new position?"" Mark says:""She has excellent handwriting and is always dressed so nicely.""

Why has the speaker responded like this?
Your answer:
","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mark is discussing Jane, a senior financial manager who he hired, with his colleague John. Mark asks: ""How is Jane managing her new position?"" Mark says:""She has excellent handwriting and is always dressed so nicely.""

Why has the speaker responded like this?
Your answer:

### 1.

Mark is trying to say that Jane is a good worker.

### 2.

Mark is trying to say that Jane is a good worker.

### 3.",competitor,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,0.1,maxims,greedy,Why has the speaker responded like this?,3,6,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Lucy discusses her trip to Paris with her mom. Lucy says: ""I'd like to visit Vincent when I am in Paris. Where does he live?"" Her mom responds:""Somewhere in France.""

Why has the speaker responded like this?
Your answer:
","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Lucy discusses her trip to Paris with her mom. Lucy says: ""I'd like to visit Vincent when I am in Paris. Where does he live?"" Her mom responds:""Somewhere in France.""

Why has the speaker responded like this?
Your answer:

### 1.

### 2.

### 3.

### 4.

### 5.

### 6.

### 7.",error,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,0.1,maxims,greedy,Why has the speaker responded like this?,3,7,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Luke missed a wedding reception and wants his wife Melanie to tell him about it. He asks: ""What were you served at the wedding?"" She responds:""Some food.""

Why has the speaker responded like this?
Your answer:
","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Luke missed a wedding reception and wants his wife Melanie to tell him about it. He asks: ""What were you served at the wedding?"" She responds:""Some food.""

Why has the speaker responded like this?
Your answer:

### 1.

Luke is angry with Melanie because she did not tell him about the wedding reception.

### 2.

Luke is angry with Melanie because she did not tell him about",incorrect_nonliteral,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,0.1,maxims,greedy,Why has the speaker responded like this?,3,8,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mary and Ken are having breakfast. Ken asks Mary: ""How would you like your tea, dear?"" Mary responds:""In a cup.""

Why has the speaker responded like this?
Your answer:
","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mary and Ken are having breakfast. Ken asks Mary: ""How would you like your tea, dear?"" Mary responds:""In a cup.""

Why has the speaker responded like this?
Your answer:

### 1.

Mary is trying to be funny.

### 2.

Mary is trying to be sarcastic.

### 3.

Mary is trying to",incorrect_nonliteral,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,0.1,maxims,greedy,Why has the speaker responded like this?,3,9,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

George and Cindy are about to enter their favorite shoe shop in the mall. George asks Cindy: ""What would you like to buy?"" Cindy responds:""A pair of shoes.""

Why has the speaker responded like this?
Your answer:
","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

George and Cindy are about to enter their favorite shoe shop in the mall. George asks Cindy: ""What would you like to buy?"" Cindy responds:""A pair of shoes.""

Why has the speaker responded like this?
Your answer:

### 1. George and Cindy are about to enter their favorite shoe shop in the mall. George asks Cindy: ""What would you like to buy?"" Cindy responds:""A pair of shoes",error,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,0.1,maxims,greedy,Why has the speaker responded like this?,3,10,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mike comes home from school. His mom asks him: ""What did you do at school today?"" Mike responds:""Some schoolwork.""

Why has the speaker responded like this?
Your answer:
","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mike comes home from school. His mom asks him: ""What did you do at school today?"" Mike responds:""Some schoolwork.""

Why has the speaker responded like this?
Your answer:

### 1.

Mike is tired.

### 2.

Mike is bored.

### 3.

Mike is lazy.

### 4.",incorrect_nonliteral,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,0.1,maxims,greedy,Why has the speaker responded like this?,3,11,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mark, who is a newlywed, is talking to his mom over the phone. His mom asks: ""Did Julie cook your dinner last night?"" Mark responds:""Well, she placed a number of edible substances into a pot and then heated them until various chemical reactions took place.""

Why has the speaker responded like this?
Your answer:
","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mark, who is a newlywed, is talking to his mom over the phone. His mom asks: ""Did Julie cook your dinner last night?"" Mark responds:""Well, she placed a number of edible substances into a pot and then heated them until various chemical reactions took place.""

Why has the speaker responded like this?
Your answer:

### 1.

### 2.

### 3.

### 4.

### 5.

### 6.

### 7.",error,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,0.1,maxims,greedy,Why has the speaker responded like this?,3,12,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Lenny comes to the kitchen and asks his wife, Marcie: ""What will we have for breakfast?"" Marcie responds:""A hard-boiled egg cooked in hot water and toast that is toasted evenly on both sides.""

Why has the speaker responded like this?
Your answer:
","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Lenny comes to the kitchen and asks his wife, Marcie: ""What will we have for breakfast?"" Marcie responds:""A hard-boiled egg cooked in hot water and toast that is toasted evenly on both sides.""

Why has the speaker responded like this?
Your answer:

### 1.

Marcie is a very good cook.

### 2.

Marcie is a very bad cook.

### 3.

Marcie is a very good cook,",incorrect_associate,,,,,,,,,,,,,,,,,,,,,
