model_name,temperature,phenomenon,decoding_scheme,question,seed,item_id,prompt,response,response_option,target,competitor,distractor_plausibleliteral,distractor_literal,distractor_nonsequitut
gpt-3.5-turbo-instruct,0.1,metaphor,greedy,,0,11,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Jody and Mark were discussing their daughter's behavior. Mark said: ""She is walking all over her brothers."" What did Mark mean?


Your answer:
","Mark meant that their daughter is dominating and controlling her brothers, possibly not giving them enough space or respect. She may be bossy or constantly getting her way, causing her brothers to feel powerless or overshadowed.",target,She can make her brothers do whatever she wishes.,Their daughter should be less aggressive towards her brothers.,Their daughter finally started to walk.,She is not paying attention when walking and often steps on her little brothers by accident.,She enjoys long walks with her brothers.
gpt-3.5-turbo-instruct,0.1,metaphor,greedy,,0,12,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

During a business meeting, the general manager of the company said to the financial manager: ""The new accountant that you hired is a juggler."" What did the general manager mean? 


Your answer:
","
The general manager is most likely using the term ""juggler"" as a metaphor to describe the new accountant's ability to handle multiple tasks or responsibilities at once. This could imply that the accountant is efficient and skilled in managing various financial tasks,",target,The newly hired person is good at manipulating many things at once.,The newly hired person dressed up as a clown.,The newly hired person used to work in a circus show.,The newly hired person can toss and catch objects in the air.,The newly hired person has too many excuses for being late.
gpt-3.5-turbo-instruct,0.1,metaphor,greedy,,0,13,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Ken was telling his friend about his shopping experience on Black Friday. Ken said: ""The store that I went to was a jungle."" What did Ken mean?


Your answer:
","Ken meant that the store was chaotic and crowded, similar to a jungle with its dense and wild environment. He may have also felt overwhelmed and stressed by the large crowds and long lines.",target,The store was complete chaos.,The store that he went to sold some exotic pets.,There were a lot of tropical trees in that store.,The store was in a jungle.,There were a lot of mosquitoes in that store.
gpt-3.5-turbo-instruct,0.1,metaphor,greedy,,0,14,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Janet was telling her friend about the show that she saw last night. Janet said: ""The dancers were butterflies."" What did Janet mean?


Your answer:
","
Janet meant that the dancers in the show were graceful and light on their feet, just like butterflies. They moved with elegance and beauty, captivating the audience with their performance.",target,The dancers flitted around the stage.,There were too many dancers in this show.,The dancers portrayed butterflies in the show.,Butterflies were dancing on the stage.,She did not see any dancers in the show.
gpt-3.5-turbo-instruct,0.1,metaphor,greedy,,0,15,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Caitlyn was telling her husband about her new co-worker. Caitlyn said: ""Sally is a block of ice."" What did she mean?


Your answer:
","
Caitlyn is trying to convey that her new co-worker, Sally, is cold and unapproachable. She may be using the phrase ""block of ice"" to describe Sally's demeanor or personality, suggesting that she is distant and difficult to",target,Sally does not show any emotions.,Sally is very emotional and cries often.,Sally is coming down with a cold.,Sally is an ice sculpture.,Sally's hands are always cold.
gpt-3.5-turbo-instruct,0.1,metaphor,greedy,,0,16,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Robert and his wife are discussing their neighbor. Robert said: ""Our neighbor is a sheep."" What did Robert mean?  


Your answer:
","
Robert is most likely using the term ""sheep"" to describe their neighbor as someone who blindly follows others and lacks independent thinking. He may also be implying that their neighbor is easily influenced and does not have a strong sense of individuality.",target,Their neigbor is a follower.,Their neighbor always wears wool sweaters.,Their neighbor has a unique haircut.,There is a sheep living next to them.,Their neigbor is charismatic.
gpt-3.5-turbo-instruct,0.1,metaphor,greedy,,0,17,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Lucy told her teacher: ""The book that you gave me has more holes in it than Swiss cheese."" What did Lucy mean?


Your answer:
","
Lucy is trying to convey that the book given to her by her teacher is full of mistakes or inconsistencies, similar to the many holes found in Swiss cheese. She may be expressing her frustration or disappointment with the book's quality.",target,The plot of the book lacks important components.,The book is about cheese making in Switzerland.,The book is in bad shape.,Many pages of the book are missing some parts.,The book smells funny.
gpt-3.5-turbo-instruct,0.1,metaphor,greedy,,0,18,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

The teacher told Sam: ""You have too much on your plate."" What did the teacher mean?


Your answer:
","
The teacher meant that Sam has too many responsibilities or tasks to handle at once and may be feeling overwhelmed or stressed. The teacher may be suggesting that Sam needs to prioritize or delegate some of their workload in order to manage it better.",target,Sam has too many things to take care of.,Sam should share food with his classmates.,Sam should think about his dietary habits.,Sam has too much food on his plate.,Sam should finish all the food that is on his plate.
gpt-3.5-turbo-instruct,0.1,metaphor,greedy,,0,19,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Melissa was discussing a new sales manager, who was hired a couple of days ago: ""She is a babe in the woods."" What did Melissa mean?


Your answer:
","
Melissa meant that the new sales manager is inexperienced and naive in her role. She is like a ""babe in the woods"" who is unfamiliar with her surroundings and vulnerable to potential challenges.",target,The new sales manager is very inexperienced. ,The new sales manager lives off of the grid.,The new sales manager is too young.,"The new sales manager is a baby, who lives in the woods.",The new sales manager used to work as a babysitter.
gpt-3.5-turbo-instruct,0.1,metaphor,greedy,,0,20,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

John told his fiance: ""You are the tomato sauce to my pasta."" What did John mean?


Your answer:
","
John is expressing that his fiance is an essential and complementary part of his life, just like tomato sauce is an essential and complementary part of pasta. He is conveying that she completes him and makes his life better.",target,They are meant to be together.,He would love some pasta for dinner.,They enjoy Italian cuisine.,The tomato sauce that she makes goes well with his pasta.,His fiance has bright red lips.
