model_name,temperature,phenomenon,decoding_scheme,question,seed,item_id,prompt,response,response_option,target,competitor,distractor_associate,distractor_nonsequitur
gpt-3.5-turbo-instruct,0.1,irony,greedy,,0,11,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

John is a teacher at an elementary school. When talking with the principal about a new student, who did poorly on her entrance examination, John said, ""This one is really sharp."" What did John want to convey?


Your answer:
","John is trying to convey that the new student is intelligent and has potential, despite not doing well on the entrance examination. He may be suggesting that the student just needs some extra support and guidance to succeed in school.",competitor,The student is not very clever.,The student is smart.,The entrance exam is unfair.,The pencils need to be sharpened.
gpt-3.5-turbo-instruct,0.1,irony,greedy,,0,12,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Melissa's friend convinces her to accompany her to a nightclub that her friend says is ""super hot"". When they arrive, it is so cold inside that they can see their breath. Melissa turns to her friend and says, ""The heat is really on in here."" What did Melissa want to convey?


Your answer:
",Melissa is trying to convey that the nightclub is not as hot as her friend had described and that it is actually quite cold inside.,target,It is too cold.,It is too hot.,It is too bright.,It is too loud.
gpt-3.5-turbo-instruct,0.1,irony,greedy,,0,13,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Your friend is working on his novel and is not making any progress. When you ask him how it is going he says, ""It couldn't be any better.""  What does your friend want to convey?


Your answer:
","
Your friend is being sarcastic and is actually struggling with their novel. They may be feeling frustrated or stuck, but are trying to maintain a positive attitude.",target,He is unhappy with his work.,He is happy with his work.,He needs to polish his style.,He needs to buy a new car.
gpt-3.5-turbo-instruct,0.1,irony,greedy,,0,14,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Tom, who is who is a gourmet chef, was offered a job at a new restaurant. Tom's potential employer offered him really low pay and no benefits. When you ask Tom what he thinks of the offer he says, ""Well, their generosity knows no bounds."" What does Tom want to convey?


Your answer:
",Tom is being sarcastic and is actually expressing disappointment or frustration with the low pay and lack of benefits offered by his potential employer. He is implying that the offer is not generous at all.,target,He is disappointed with the job offer.,He is excited about the job offer.,He is glad to be employed.,He is tired of jogging every morning.
gpt-3.5-turbo-instruct,0.1,irony,greedy,,0,15,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Megan and Kristine were looking after the neighbor's children one afternoon. The kids were energetic, enthusiastic, and well behaved. On the way home, Kristine said, ""Those kids were not fun at all."" What does Kristine want to convey?


Your answer:
",Kristine wants to convey that the kids were not enjoyable to be around and possibly caused her some frustration or annoyance.,competitor,Babysitting was an enjoyable experience.,Babysitting was an unpleasant experience.,Babysitting does not pay well.,Rock music should be prohibited.
gpt-3.5-turbo-instruct,0.1,irony,greedy,,0,16,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Laura and Lynn were having coffee at a local caf&eacute;. They were talking about a boring date that Laura had had the night before. They had watched old reruns of cartoons all evening. Lynn said, ""That sounds so exciting.""  What did Lynn want to convey?


Your answer:
","
Lynn wanted to convey sarcasm and express that Laura's date sounded extremely uninteresting and uneventful.",target,Laura had a dull experience.,Laura had a thrilling experience.,Laura needs a babysitter.,Laura got food poisoning.
gpt-3.5-turbo-instruct,0.1,irony,greedy,,0,17,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

While Tom and a new acquaintance from work, Sara, were chatting at a party, they noticed a colleague across the room. She was standing alone holding a drink and a CD. Tom points at the girl and comments:  ""The life of the party, right there."" What did Tom want to convey?


Your answer:
","
Tom is trying to convey that the colleague across the room is not actually the life of the party, despite her appearance. He may be implying that she is trying too hard or not fitting in with the rest of the group.",distractor_associate,Their colleague is quite unsociable.,Their colleague is very sociable.,Their colleague has good taste in music.,Their colleague has good taste in fashion.
gpt-3.5-turbo-instruct,0.1,irony,greedy,,0,18,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Jane and her best friend, Arthur, were selling chocolates door to door to raise money for a charity event. Jane and Arthur approached a house and tried to sell their candy to a mean couple. As they walked away, Jane comments: ""People in this community are so nice!""  What did Jane want to convey?


Your answer:
","Jane wanted to convey that despite encountering a mean couple, she still believes that the majority of people in their community are kind and generous. She may also be trying to stay positive and not let the negative encounter affect her overall perception of the community.",competitor,It is an unfriendly community.,It is an amicable community.,It is a community of chocolate lovers.,It is a community of animal lovers.
gpt-3.5-turbo-instruct,0.1,irony,greedy,,0,19,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Penny, Juanita, and Jill have tickets to a basketball game. At halftime, Juanita offers to go get some drinks. Forty minutes later, she finally returns, and Jill remarks, ""That was quick."" What did Jill want to convey?


Your answer:
",Jill wanted to convey that Juanita took a long time to get the drinks and it was not as quick as she had expected.,target,Juanita is always so slow., Juanita is always so fast.,Juanita has the view of the game.,Juanita has the best cat.
gpt-3.5-turbo-instruct,0.1,irony,greedy,,0,20,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mark gave his former colleague Krista tickets to a lecture where he was a guest speaker. Within the first 20 minutes of the lecture, the audience started to leave. The next day Krista talked to Mary about the lecture. Krista said: "" Oh, Mark held the audience's attention so well."" What did Krista want to convey?


Your answer:","
Krista wanted to convey that Mark's lecture was engaging and interesting, and that he was able to keep the audience's attention throughout the entire presentation.",competitor,Mark's speaking skills leave much to be desired.,Mark is a great speaker.,Mark's speech was on captivating topic.,Mark's speech was about ants.
gpt-3.5-turbo-instruct,0.1,irony,greedy,,0,21,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Tracy was in a dance recital and invited her roommate Steve to watch. Tracy tripped many times during her performance. The next day Steve was talking to Dawn about the recital. Steve said: ""Some people have such natural grace!"" What did Steve want to convey?


Your answer:
","
Steve wanted to convey that Tracy's performance was not as graceful as he had hoped, but he didn't want to hurt her feelings by directly mentioning her mistakes. He was trying to be polite and compliment her natural grace, even though her performance may",target,Tracy is not a good dancer.,Tracy is a great dancer.,Tracy's dancing outfit is impressive.,Tracy's math skills are impressive.
gpt-3.5-turbo-instruct,0.1,irony,greedy,,0,22,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

John finished the race way ahead of the other competitors. His friend laughed and said to him, ""You are so slow!"" What did his friend want to convey?


Your answer:
","
His friend was being sarcastic and actually meant the opposite, that John was very fast and had finished the race way ahead of everyone else.",target,John is an outstanding runner.,John is not a good runner.,John needs new running shoes.,John needs new computer.
gpt-3.5-turbo-instruct,0.1,irony,greedy,,0,23,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

The Jones' had hired a new gardener. After a week the lawn was looking particularly unkempt. John remarked to his wife, ""He does such a good job!"" What did John want to convey?


Your answer:
",John is being sarcastic and is actually expressing dissatisfaction with the new gardener's work.,target,He is unhappy with the new gardener.,He is happy with the new gardener.,He likes daisies.,He likes thrillers.
gpt-3.5-turbo-instruct,0.1,irony,greedy,,0,24,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

It was the night before her exam and Tilly had read none of the course texts. Her brother said, ""I see your revision is going well.""  What did he want to convey?


Your answer:
","
The brother is being sarcastic and implying that Tilly has not been studying for her exam, despite it being the night before. He is likely trying to convey that she should have been studying more and is not well-prepared for the exam.",target,Tilly is unready for the exam.,Tilly is ready for the exam.,Tilly cannot find the textbook.,Tilly cannot find the sneakers.
gpt-3.5-turbo-instruct,0.1,irony,greedy,,0,25,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Barb and Tony went to a high school reunion. Barb was running late and came underdressed. Tony commented, ""Classy outfit."" What did Tony want to convey?


Your answer:
","
Tony wanted to convey that Barb's outfit was not appropriate for the high school reunion and that she should have dressed more formally or elegantly. He may have been disappointed or embarrassed by her appearance.",target,He thought that her dress was not appropriate for the occasion.,He liked her choice of dress.,He thought that Barb forgot her purse in the hall.,He thought that Barb forgot to call the cab.
